bin_index,count
0,1
1,0
2,0
3,2
4,0
5,0
6,1
7,1
8,1
9,1
10,1
11,1
12,0
13,0
14,0
15,0
16,1
17,0
18,0
19,0
20,1
21,0
22,1
23,2
24,2
25,1
26,0
27,0
28,0
29,1
30,1
31,1
32,0
33,1
34,1
35,0
36,0
37,1
38,0
39,1
40,1
41,1
42,1
43,1
44,0
45,0
46,1
47,0
48,0
49,2
50,1
51,1
52,1
53,0
54,0
55,1
56,1
57,0
58,1
59,1
60,2
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,3
79,0
80,1
81,2
82,1
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,1
98,0
99,0
