bin_index,count
0,0
1,2
2,0
3,0
4,1
5,1
6,1
7,0
8,1
9,0
10,0
11,2
12,2
13,0
14,0
15,0
16,1
17,0
18,1
19,1
20,1
21,1
22,2
23,0
24,1
25,2
26,0
27,0
28,0
29,2
30,0
31,0
32,3
33,1
34,1
35,0
36,0
37,0
38,1
39,0
40,0
41,2
42,1
43,0
44,1
45,0
46,0
47,1
48,0
49,0
50,2
51,1
52,3
53,1
54,1
55,0
56,5
57,0
58,1
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,0
69,0
70,1
71,0
72,2
73,0
74,0
75,1
76,1
77,0
78,1
79,0
80,2
81,0
82,2
83,2
84,0
85,0
86,0
87,0
88,0
89,2
90,0
91,1
92,1
93,0
94,0
95,1
96,1
97,1
98,0
99,1
100,0
101,0
102,2
103,0
104,0
105,0
106,0
107,2
108,0
109,1
110,0
111,2
112,0
113,0
114,1
115,1
116,1
117,0
118,1
119,1
120,1
121,0
122,1
123,1
124,0
125,0
126,0
127,1
128,0
129,0
130,0
131,1
132,0
133,1
134,0
135,2
136,0
137,1
138,0
139,2
140,1
141,2
142,1
143,0
144,0
145,2
146,1
147,1
148,0
149,0
150,0
151,0
152,0
153,0
154,1
155,2
156,0
157,0
158,0
159,0
160,1
161,2
162,1
163,0
164,0
165,0
166,4
167,0
168,1
169,1
170,0
171,0
172,0
173,0
174,0
175,0
176,1
177,1
178,1
179,1
180,0
181,0
182,1
183,1
184,1
185,0
186,1
187,0
188,1
189,1
190,1
191,0
192,0
193,1
194,0
195,1
196,1
197,0
198,1
199,0
200,0
201,3
202,1
203,0
204,0
205,0
206,0
207,0
208,1
209,0
210,0
211,2
212,0
213,0
214,0
215,0
216,0
217,1
218,0
219,1
220,0
221,0
222,1
223,3
224,1
225,2
226,2
227,0
228,0
229,0
230,2
231,0
232,0
233,0
234,1
235,1
236,1
237,2
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,1
251,0
252,0
253,0
254,1
255,1
256,1
257,0
258,1
259,1
260,1
261,1
262,0
263,1
264,1
265,0
266,0
267,0
268,1
269,0
270,1
271,1
272,2
273,1
274,1
275,2
276,0
277,0
278,0
279,0
280,1
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,2
291,0
292,0
293,1
294,0
295,0
296,0
297,1
298,1
299,1
300,1
301,0
302,0
303,0
304,0
305,0
306,0
307,1
308,0
309,0
310,0
311,0
312,1
313,0
314,1
315,0
316,0
317,0
318,0
319,0
320,1
321,0
322,1
323,1
324,1
325,3
326,0
327,0
328,0
329,0
330,2
331,0
332,1
333,2
334,0
335,0
336,0
337,0
338,0
339,0
340,1
341,1
342,0
343,0
344,0
345,4
346,1
347,0
348,2
349,0
350,1
351,1
352,1
353,0
354,0
355,3
356,0
357,0
358,1
359,0
360,0
361,0
362,0
363,0
364,1
365,1
366,1
367,0
368,0
369,0
370,0
371,0
372,1
373,1
374,0
375,0
376,1
377,0
378,0
379,1
380,0
381,1
382,2
383,0
384,1
385,2
386,0
387,0
388,1
389,0
390,1
391,0
392,0
393,2
394,0
395,0
396,0
397,1
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,1
409,1
410,0
411,0
412,0
413,1
414,0
415,1
416,1
417,1
418,1
419,0
420,1
421,0
422,0
423,1
424,0
425,0
426,0
427,0
428,0
429,0
430,1
431,1
432,0
433,0
434,1
435,1
436,2
437,0
438,1
439,0
440,0
441,0
442,0
443,0
444,0
445,2
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,2
454,2
455,1
456,1
457,0
458,0
459,0
460,0
461,0
462,1
463,0
464,0
465,1
466,0
467,1
468,0
469,0
470,0
471,2
472,0
473,0
474,1
475,2
476,0
477,1
478,0
479,0
480,0
481,0
482,2
483,0
484,1
485,0
486,0
487,0
488,1
489,0
490,0
491,0
492,1
493,2
494,0
495,0
496,0
497,1
498,2
499,0
500,1
501,0
502,0
503,0
504,0
505,2
506,0
507,0
508,0
509,1
510,0
511,0
512,0
513,4
514,0
515,1
516,1
517,1
518,1
519,0
520,0
521,2
522,0
523,1
524,0
525,0
526,1
527,0
528,1
529,1
530,0
531,0
532,0
533,0
534,1
535,1
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,1
545,0
546,1
547,0
548,0
549,1
550,0
551,0
552,0
553,0
554,0
555,2
556,0
557,0
558,0
559,1
560,1
561,0
562,3
563,1
564,0
565,1
566,0
567,0
568,0
569,0
570,2
571,1
572,1
573,0
574,0
575,1
576,0
577,0
578,1
579,0
580,0
581,0
582,1
583,0
584,0
585,1
586,0
587,0
588,0
589,0
590,2
591,0
592,0
593,0
594,1
595,1
596,0
597,0
598,0
599,0
600,1
601,0
602,0
603,0
604,0
605,0
606,0
607,1
608,0
609,0
610,0
611,1
612,0
613,2
614,0
615,1
616,0
617,0
618,0
619,1
620,0
621,0
622,2
623,0
624,1
625,1
626,1
627,0
628,0
629,0
630,1
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,1
641,1
642,0
643,0
644,0
645,0
646,0
647,1
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,2
666,0
667,1
668,1
669,0
670,0
671,2
672,0
673,0
674,1
675,1
676,0
677,1
678,0
679,0
680,0
681,0
682,1
683,0
684,0
685,0
686,1
687,0
688,0
689,0
690,1
691,1
692,1
693,2
694,1
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,1
703,0
704,0
705,0
706,0
707,0
708,1
709,0
710,2
711,0
712,0
713,0
714,0
715,2
716,2
717,1
718,0
719,1
720,1
721,0
722,1
723,1
724,0
725,1
726,1
727,0
728,1
729,0
730,1
731,2
732,0
733,0
734,0
735,0
736,0
737,0
738,1
739,1
740,1
741,0
742,2
743,2
744,0
745,0
746,0
747,1
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,1
758,0
759,0
760,1
761,1
762,0
763,0
764,1
765,1
766,0
767,0
768,1
769,1
770,2
771,1
772,1
773,1
774,0
775,0
776,0
777,0
778,0
779,0
780,1
781,0
782,1
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,1
792,0
793,0
794,2
795,0
796,2
797,1
798,0
799,0
800,0
801,1
802,0
803,1
804,1
805,1
806,1
807,2
808,1
809,2
810,0
811,0
812,0
813,1
814,0
815,0
816,2
817,2
818,0
819,1
820,2
821,0
822,1
823,1
824,1
825,1
826,3
827,1
828,2
829,0
830,1
831,1
832,0
833,2
834,1
835,0
836,1
837,0
838,2
839,0
840,1
841,0
842,1
843,1
844,0
845,0
846,1
847,0
848,0
849,1
850,0
851,0
852,1
853,1
854,0
855,2
856,1
857,0
858,0
859,0
860,0
861,0
862,1
863,1
864,1
865,1
866,0
867,1
868,0
869,0
870,0
871,0
872,2
873,0
874,0
875,0
876,0
877,1
878,1
879,0
880,0
881,0
882,2
883,0
884,0
885,2
886,1
887,0
888,0
889,2
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,1
900,0
901,0
902,0
903,0
904,0
905,1
906,0
907,1
908,0
909,1
910,1
911,0
912,1
913,1
914,0
915,3
916,1
917,1
918,0
919,2
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,1
928,0
929,0
930,1
931,1
932,0
933,0
934,1
935,1
936,1
937,2
938,0
939,1
940,0
941,1
942,0
943,0
944,0
945,0
946,0
947,0
948,1
949,0
950,1
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,2
962,0
963,0
964,1
965,1
966,0
967,0
968,0
969,0
970,1
971,1
972,0
973,1
974,0
975,2
976,0
977,0
978,2
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,1
988,0
989,0
990,0
991,1
992,2
993,0
994,0
995,0
996,1
997,0
998,1
999,0
