bin_index,count
0,1
1,0
2,1
3,0
4,1
5,0
6,0
7,0
8,1
9,1
10,2
11,1
12,0
13,0
14,0
15,0
16,1
17,1
18,2
19,1
20,1
21,1
22,1
23,1
24,0
25,0
26,2
27,0
28,0
29,2
30,1
31,1
32,0
33,1
34,1
35,1
36,0
37,1
38,2
39,0
40,0
41,0
42,0
43,1
44,0
45,1
46,1
47,0
48,0
49,2
50,2
51,0
52,1
53,0
54,1
55,0
56,1
57,0
58,0
59,1
60,0
61,1
62,2
63,1
64,1
65,1
66,1
67,0
68,1
69,1
70,0
71,3
72,0
73,2
74,1
75,0
76,3
77,1
78,2
79,1
80,1
81,3
82,1
83,0
84,3
85,0
86,1
87,0
88,0
89,0
90,1
91,0
92,0
93,1
94,1
95,0
96,1
97,0
98,4
99,1
100,2
101,2
102,1
103,1
104,0
105,3
106,0
107,1
108,0
109,0
110,1
111,2
112,1
113,1
114,1
115,1
116,0
117,1
118,1
119,0
120,3
121,0
122,1
123,2
124,1
125,0
126,0
127,0
128,2
129,1
130,0
131,0
132,0
133,2
134,0
135,0
136,1
137,0
138,0
139,0
140,0
141,0
142,1
143,1
144,1
145,0
146,0
147,1
148,2
149,1
150,0
151,0
152,0
153,2
154,2
155,1
156,1
157,1
158,2
159,1
160,0
161,1
162,0
163,0
164,1
165,0
166,1
167,1
168,1
169,2
170,1
171,1
172,1
173,0
174,3
175,0
176,0
177,0
178,1
179,0
180,2
181,2
182,1
183,2
184,0
185,0
186,0
187,0
188,4
189,0
190,0
191,1
192,0
193,3
194,1
195,1
196,1
197,2
198,0
199,1
200,0
201,1
202,0
203,2
204,0
205,0
206,1
207,3
208,0
209,0
210,0
211,0
212,1
213,0
214,0
215,0
216,3
217,0
218,0
219,2
220,1
221,0
222,1
223,1
224,0
225,0
226,0
227,0
228,1
229,3
230,0
231,0
232,0
233,2
234,0
235,2
236,0
237,1
238,0
239,0
240,0
241,1
242,2
243,0
244,2
245,0
246,2
247,0
248,0
249,0
250,0
251,0
252,0
253,1
254,0
255,0
256,0
257,0
258,1
259,0
260,0
261,1
262,1
263,0
264,1
265,2
266,0
267,0
268,1
269,0
270,2
271,0
272,1
273,0
274,1
275,0
276,2
277,2
278,2
279,2
280,4
281,0
282,1
283,1
284,2
285,0
286,1
287,0
288,2
289,1
290,1
291,1
292,0
293,1
294,1
295,0
296,0
297,0
298,1
299,1
300,0
301,1
302,0
303,1
304,0
305,0
306,4
307,0
308,0
309,0
310,0
311,2
312,2
313,1
314,1
315,1
316,0
317,1
318,0
319,0
320,2
321,4
322,0
323,1
324,1
325,0
326,0
327,0
328,0
329,0
330,1
331,1
332,0
333,1
334,0
335,1
336,0
337,1
338,0
339,0
340,0
341,1
342,1
343,2
344,0
345,3
346,0
347,1
348,0
349,2
350,1
351,1
352,0
353,0
354,2
355,1
356,1
357,2
358,0
359,2
360,0
361,0
362,0
363,0
364,0
365,1
366,2
367,0
368,2
369,2
370,0
371,1
372,1
373,0
374,1
375,1
376,0
377,0
378,2
379,0
380,1
381,1
382,0
383,0
384,0
385,0
386,2
387,1
388,2
389,0
390,4
391,2
392,1
393,1
394,0
395,0
396,1
397,0
398,1
399,0
400,0
401,0
402,1
403,0
404,0
405,0
406,0
407,1
408,0
409,2
410,0
411,0
412,1
413,1
414,2
415,0
416,4
417,1
418,2
419,0
420,1
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,2
430,1
431,0
432,1
433,0
434,0
435,0
436,1
437,3
438,1
439,2
440,2
441,0
442,1
443,0
444,0
445,2
446,1
447,3
448,2
449,0
450,3
451,0
452,1
453,0
454,1
455,1
456,0
457,0
458,0
459,0
460,1
461,1
462,0
463,1
464,2
465,0
466,1
467,0
468,0
469,0
470,0
471,1
472,0
473,1
474,0
475,0
476,0
477,1
478,1
479,0
480,1
481,2
482,0
483,1
484,1
485,1
486,1
487,0
488,0
489,0
490,1
491,0
492,0
493,0
494,2
495,0
496,0
497,2
498,0
499,1
500,0
501,0
502,0
503,2
504,1
505,0
506,0
507,2
508,0
509,1
510,0
511,0
512,2
513,0
514,1
515,0
516,2
517,0
518,1
519,0
520,0
521,1
522,0
523,1
524,1
525,0
526,0
527,0
528,1
529,0
530,1
531,1
532,0
533,1
534,0
535,0
536,1
537,0
538,0
539,0
540,1
541,1
542,1
543,0
544,1
545,0
546,1
547,2
548,1
549,0
550,0
551,1
552,1
553,0
554,0
555,0
556,1
557,0
558,0
559,0
560,1
561,0
562,1
563,2
564,1
565,3
566,0
567,1
568,0
569,0
570,2
571,0
572,0
573,1
574,0
575,0
576,0
577,1
578,3
579,0
580,1
581,1
582,0
583,1
584,0
585,0
586,2
587,0
588,0
589,1
590,1
591,2
592,0
593,0
594,0
595,1
596,1
597,2
598,1
599,1
600,1
601,2
602,0
603,0
604,2
605,2
606,3
607,3
608,1
609,1
610,1
611,2
612,2
613,1
614,1
615,2
616,1
617,1
618,0
619,3
620,1
621,4
622,0
623,0
624,1
625,1
626,2
627,0
628,0
629,1
630,1
631,1
632,1
633,1
634,0
635,2
636,0
637,1
638,1
639,0
640,0
641,2
642,3
643,0
644,2
645,1
646,1
647,1
648,0
649,1
650,0
651,0
652,1
653,1
654,0
655,1
656,0
657,0
658,0
659,0
660,1
661,2
662,0
663,1
664,1
665,0
666,1
667,0
668,0
669,1
670,1
671,1
672,2
673,0
674,0
675,1
676,1
677,1
678,2
679,2
680,0
681,0
682,1
683,1
684,0
685,0
686,0
687,0
688,0
689,0
690,1
691,0
692,0
693,0
694,0
695,2
696,1
697,0
698,1
699,0
700,0
701,1
702,0
703,1
704,0
705,3
706,1
707,0
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,0
716,0
717,2
718,1
719,1
720,1
721,0
722,0
723,1
724,0
725,0
726,0
727,2
728,2
729,1
730,1
731,2
732,1
733,1
734,0
735,1
736,0
737,1
738,1
739,0
740,0
741,0
742,3
743,0
744,1
745,0
746,0
747,0
748,0
749,1
750,0
751,0
752,1
753,1
754,1
755,0
756,3
757,1
758,0
759,1
760,0
761,1
762,2
763,1
764,1
765,0
766,0
767,4
768,0
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,0
777,2
778,2
779,0
780,1
781,2
782,0
783,1
784,2
785,1
786,1
787,0
788,1
789,1
790,0
791,0
792,1
793,0
794,2
795,0
796,0
797,0
798,0
799,0
800,0
801,4
802,1
803,0
804,0
805,1
806,1
807,1
808,2
809,2
810,1
811,0
812,0
813,1
814,1
815,2
816,0
817,0
818,2
819,2
820,1
821,0
822,0
823,1
824,1
825,0
826,1
827,1
828,1
829,0
830,0
831,1
832,0
833,1
834,0
835,0
836,0
837,0
838,2
839,1
840,0
841,1
842,0
843,0
844,1
845,0
846,0
847,0
848,2
849,0
850,0
851,2
852,1
853,1
854,0
855,0
856,1
857,0
858,2
859,1
860,2
861,3
862,1
863,2
864,1
865,1
866,0
867,0
868,0
869,2
870,0
871,1
872,2
873,0
874,2
875,1
876,3
877,1
878,0
879,1
880,0
881,0
882,1
883,1
884,0
885,0
886,1
887,1
888,2
889,0
890,0
891,0
892,1
893,1
894,0
895,0
896,1
897,1
898,0
899,0
900,0
901,1
902,0
903,0
904,1
905,1
906,3
907,0
908,1
909,1
910,0
911,0
912,2
913,1
914,2
915,2
916,2
917,1
918,1
919,0
920,3
921,2
922,0
923,1
924,3
925,0
926,1
927,0
928,0
929,2
930,1
931,1
932,0
933,1
934,0
935,2
936,1
937,0
938,1
939,1
940,0
941,1
942,1
943,1
944,1
945,2
946,1
947,0
948,1
949,0
950,1
951,1
952,1
953,1
954,2
955,0
956,1
957,0
958,1
959,1
960,1
961,2
962,0
963,3
964,0
965,0
966,1
967,0
968,2
969,0
970,2
971,2
972,2
973,1
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,1
982,1
983,0
984,1
985,3
986,0
987,1
988,2
989,0
990,0
991,0
992,1
993,1
994,1
995,1
996,0
997,2
998,1
999,1
1000,2
1001,1
1002,0
1003,1
1004,0
1005,0
1006,1
1007,2
1008,0
1009,0
1010,0
1011,3
1012,1
1013,2
1014,0
1015,2
1016,0
1017,0
1018,1
1019,2
1020,1
1021,0
1022,0
1023,0
1024,0
1025,1
1026,2
1027,0
1028,0
1029,0
1030,1
1031,0
1032,2
1033,0
1034,0
1035,0
1036,1
1037,0
1038,1
1039,0
1040,0
1041,0
1042,1
1043,0
1044,0
1045,1
1046,2
1047,0
1048,1
1049,1
1050,3
1051,1
1052,0
1053,2
1054,0
1055,1
1056,0
1057,1
1058,2
1059,2
1060,2
1061,1
1062,1
1063,1
1064,0
1065,0
1066,0
1067,0
1068,0
1069,1
1070,0
1071,1
1072,3
1073,0
1074,1
1075,0
1076,1
1077,0
1078,1
1079,0
1080,3
1081,1
1082,0
1083,1
1084,0
1085,1
1086,1
1087,0
1088,2
1089,2
1090,0
1091,2
1092,0
1093,4
1094,0
1095,3
1096,1
1097,1
1098,2
1099,0
1100,0
1101,1
1102,0
1103,2
1104,1
1105,1
1106,0
1107,1
1108,0
1109,0
1110,1
1111,2
1112,0
1113,0
1114,2
1115,0
1116,0
1117,1
1118,0
1119,1
1120,2
1121,0
1122,1
1123,0
1124,0
1125,1
1126,1
1127,0
1128,1
1129,0
1130,1
1131,1
1132,1
1133,2
1134,1
1135,0
1136,1
1137,1
1138,1
1139,2
1140,1
1141,0
1142,1
1143,0
1144,1
1145,1
1146,2
1147,0
1148,1
1149,0
1150,1
1151,0
1152,0
1153,0
1154,1
1155,1
1156,1
1157,1
1158,1
1159,2
1160,0
1161,1
1162,1
1163,2
1164,1
1165,0
1166,0
1167,1
1168,2
1169,0
1170,1
1171,2
1172,0
1173,1
1174,2
1175,0
1176,1
1177,2
1178,1
1179,2
1180,1
1181,1
1182,0
1183,3
1184,0
1185,0
1186,0
1187,0
1188,1
1189,0
1190,1
1191,0
1192,1
1193,0
1194,1
1195,0
1196,1
1197,0
1198,1
1199,1
1200,0
1201,1
1202,1
1203,1
1204,1
1205,1
1206,1
1207,0
1208,0
1209,1
1210,0
1211,1
1212,1
1213,0
1214,0
1215,0
1216,2
1217,1
1218,1
1219,0
1220,2
1221,2
1222,1
1223,1
1224,2
1225,1
1226,1
1227,1
1228,2
1229,2
